,model,CHI,ZIPF,CLASSIFIER,IRPR,FID,PR,DC,MAUVE,TRADITIONAL,ZERO,weighted_CHI,rank_CHI,weight_CHI,weighted_ZIPF,rank_ZIPF,weight_ZIPF,weighted_CLASSIFIER,rank_CLASSIFIER,weight_CLASSIFIER,weighted_IRPR,rank_IRPR,weight_IRPR,weighted_FID,rank_FID,weight_FID,weighted_PR,rank_PR,weight_PR,weighted_DC,rank_DC,weight_DC,weighted_MAUVE,rank_MAUVE,weight_MAUVE,weighted_TRADITIONAL,rank_TRADITIONAL,weight_TRADITIONAL,weighted_ZERO,rank_ZERO,weight_ZERO,final_score,dataset
0,LDA,0.9436302826347585,0.1225542239558332,0.888888888888889,0.4129862,1.0123987889609416,0.349915275497871,0.1035681859704688,0.7134253319704502,0.3748355070233987,0.270909908612076,0.0,10,0.0,0.014255321977220826,5,0.11631848758112362,0.07882189223060385,8,0.08867462875942932,0.045259183097842715,6,0.10959006159974041,0.07622596338461382,9,0.07529242845385764,0.04445984172648105,2,0.127058876361491,0.010812123574714502,7,0.10439618569545522,0.09046196090565825,3,0.12679947970981936,0.04533088763949319,4,0.12093541510906933,0.03547143628870176,1,0.1309344367300141,0.4410986108253299,yahoo
1,MATAVE,0.9916591416622368,0.2222754533395533,0.9629629629629628,0.41615453,1.028471559390039,0.3760424812551264,0.0960352321375566,0.7720337028482427,0.5622285013442073,0.2952354808294654,0.0,10,0.0,0.025854744558865456,5,0.11631848758112362,0.0853903832498208,8,0.08867462875942932,0.04560640057771102,6,0.10959006159974041,0.07743612130220191,9,0.07529242845385764,0.0477795351324634,2,0.127058876361491,0.01002571192753851,7,0.10439618569545522,0.09789347183960245,3,0.12679947970981936,0.06799333719621166,4,0.12093541510906933,0.03865649138512092,1,0.1309344367300141,0.4966361971695361,yahoo
2,combinedTopicModel,0.9995371786093882,0.1584000929497386,0.8745581903476639,0.41493496,0.991504232304708,0.2144041549568855,0.1046346062768323,0.7201643701891518,0.4048740761487834,0.2529053812920595,0.0,10,0.0,0.018424859244622997,5,0.11631848758112362,0.07755112285759741,8,0.08867462875942932,0.045472747826285825,6,0.10959006159974041,0.07465276147249927,9,0.07529242845385764,0.02724195101605687,2,0.127058876361491,0.01092345378704703,7,0.10439618569545522,0.09131646744553419,3,0.12679947970981936,0.04896361446595406,4,0.12093541510906933,0.03311402364546525,1,0.1309344367300141,0.42766100176106286,yahoo
3,realToReal,1.0,0.0050357120779551,0.4168542839274546,0.40337232,0.8800477742623056,0.0100163320709286,0.0295562881405176,0.0392457071960566,0.14831942747665,0.1000807242335364,0.0,10,0.0,0.0005857464128017346,5,0.11631848758112362,0.036964398874044783,8,0.08867462875942932,0.0442055973964302,6,0.10959006159974041,0.0662609340796213,9,0.07529242845385764,0.0012726638981957542,2,0.127058876361491,0.0030855637451858565,7,0.10439618569545522,0.00497633525330389,3,0.12679947970981936,0.017937071530628172,4,0.12093541510906933,0.01310401325504996,1,0.1309344367300141,0.18839232444526166,yahoo
4,realToReal2,1.0,0.0079921925757166,0.5934955692501461,0.4019868,0.8658975216820374,0.0083750435639684,0.0126964707535101,0.0494148242393209,0.1550887996858919,0.1012929789182655,0.0,10,0.0,0.0009296397528644397,5,0.11631848758112362,0.05262799927362288,8,0.08867462875942932,0.044053758174282524,6,0.10959006159974041,0.06519552719961745,9,0.07529242845385764,0.001064123624716362,2,0.127058876361491,0.0013254631184603566,7,0.10439618569545522,0.00626577400349806,3,0.12679947970981936,0.018755728368780637,4,0.12093541510906933,0.013262739139368285,1,0.1309344367300141,0.203480752655211,yahoo
5,realToReal3,1.0,0.0100830946696947,0.3737451737451738,0.40162694,0.8681949597735444,0.0116916273677764,0.0141829212168468,0.0397743232201874,0.1772537192730555,0.1017343380698629,0.0,10,0.0,0.0011728503221161766,5,0.11631848758112362,0.03314171453248169,8,0.08867462875942932,0.044014321094715245,6,0.10959006159974041,0.06536850689274941,9,0.07529242845385764,0.0014855250361869258,2,0.127058876361491,0.0014806428770579503,7,0.10439618569545522,0.00504336349012995,3,0.12679947970981936,0.02143625211991341,4,0.12093541510906933,0.013320528251278328,1,0.1309344367300141,0.1864637046166291,yahoo
6,LDA,2.7762977102459746e-13,0.1313997573367958,0.903988603988604,0.31081367,0.6151701726232606,0.3828049917192485,0.3088524013711548,0.7039253654908512,0.3655553183098216,0.1476346550390503,1.6094613707457926e-14,10,0.05797149797033825,0.014868966298123464,2,0.11315824777371729,0.06906623593971685,9,0.07640166660838517,0.033018706230825506,5,0.1062331210555363,0.061085925896788615,8,0.09929923233485273,0.03992739845985229,6,0.10430218864318072,0.031507469034397995,7,0.10201464807953611,0.07909541418184811,3,0.1123633527919461,0.040700317953298766,4,0.11133832805792679,0.017261106770681475,1,0.11691771668458063,0.3865315407655492,banking77
7,MATAVE,0.0060556340798655,0.1760331500214254,0.991869918699187,0.337082,0.7163130903013584,0.4690539305596683,0.6378699597322832,0.8821037876464256,0.4456968163983099,0.2208551931099646,0.000351054178770034,10,0.05797149797033825,0.0199196028065124,2,0.11315824777371729,0.07578051484734138,9,0.07640166660838517,0.035809272911642286,5,0.1062331210555363,0.07112933997833093,8,0.09929923233485273,0.04892335154905991,6,0.10430218864318072,0.06507207946259674,7,0.10201464807953611,0.09911613909042723,3,0.1123633527919461,0.04962313835852859,4,0.11133832805792679,0.025821884896349186,1,0.11691771668458063,0.4915463780795587,banking77
8,combinedTopicModel,0.9495060423198516,0.1657874654061278,0.9345528455284552,0.3223777,0.623336698407819,0.3409979345681537,0.4423022179050442,0.6608132792256804,0.3965665697913003,0.1863239411220658,0.05504428760516918,10,0.05797149797033825,0.018760219088203193,2,0.11315824777371729,0.07140139493198272,9,0.07640166660838517,0.03424718922970536,5,0.1062331210555363,0.06189685563803805,8,0.09929923233485273,0.03556683089826256,6,0.10430218864318072,0.04512130510438138,7,0.10201464807953611,0.07425119562323793,3,0.1123633527919461,0.04415305884423051,4,0.11133832805792679,0.021784569759664172,1,0.11691771668458063,0.4622269067228751,banking77
9,realToReal,1.0,0.0185210824344032,0.6097820308346624,0.25844306,0.3652458204642566,0.0385153551288693,0.0077538529079027,0.0286519599354013,0.1546588647479609,0.0842526722799812,0.05797149797033825,10,0.05797149797033825,0.00209581323514964,2,0.11315824777371729,0.04658836342361392,9,0.07640166660838517,0.02745521287894323,5,0.1062331210555363,0.03626862958561412,8,0.09929923233485273,0.004017235836310424,6,0.10430218864318072,0.0007910065756601818,7,0.10201464807953611,0.0032194302824022016,3,0.1123633527919461,0.017219459420374998,4,0.11133832805792679,0.009850630067549663,1,0.11691771668458063,0.20547727927595663,banking77
