dataset,model,CHI,ZIPF,CLASSIFIER,IRPR,FID,PR,DC,MAUVE,TRADITIONAL,ZERO
yahoo,LDA,0.9436302826347583,0.12255422395583322,0.888888888888889,0.4129862,1.0123987889609416,0.349915275497871,0.10356818597046884,0.7134253319704502,0.3748355070233987,0.27090990861207603
yahoo,MATAVE,0.9916591416622369,0.22227545333955334,0.9629629629629629,0.41615453,1.028471559390039,0.3760424812551264,0.09603523213755667,0.7720337028482427,0.5622285013442073,0.29523548082946544
yahoo,combinedTopicModel,0.9995371786093882,0.15840009294973864,0.8745581903476639,0.41493496,0.9915042323047079,0.2144041549568855,0.10463460627683237,0.7201643701891518,0.40487407614878346,0.2529053812920595
yahoo,realToReal,1.0,0.0050357120779551305,0.41685428392745466,0.40337232,0.8800477742623056,0.010016332070928632,0.029556288140517657,0.03924570719605669,0.14831942747665006,0.10008072423353649
yahoo,realToReal2,1.0,0.007992192575716631,0.5934955692501461,0.4019868,0.8658975216820374,0.00837504356396849,0.012696470753510177,0.04941482423932094,0.15508879968589195,0.10129297891826557
yahoo,realToReal3,1.0,0.010083094669694778,0.3737451737451738,0.40162694,0.8681949597735444,0.011691627367776403,0.01418292121684687,0.03977432322018748,0.17725371927305558,0.10173433806986293
banking77,LDA,2.7762977102459746e-13,0.1313997573367958,0.903988603988604,0.31081367,0.6151701726232606,0.3828049917192485,0.3088524013711548,0.7039253654908512,0.36555531830982163,0.14763465503905032
banking77,MATAVE,0.006055634079865535,0.17603315002142542,0.991869918699187,0.337082,0.7163130903013584,0.4690539305596683,0.6378699597322832,0.8821037876464256,0.4456968163983099,0.22085519310996463
banking77,combinedTopicModel,0.9495060423198515,0.1657874654061278,0.9345528455284553,0.3223777,0.623336698407819,0.3409979345681537,0.44230221790504426,0.6608132792256804,0.3965665697913003,0.18632394112206585
banking77,realToReal,1.0,0.01852108243440324,0.6097820308346624,0.25844306,0.36524582046425663,0.03851535512886939,0.007753852907902796,0.0286519599354013,0.15465886474796095,0.08425267227998122
banking77,realToReal2,1.0,0.015008577582987273,0.34736842105263155,0.2554691,0.35930777665672586,0.025144813547514928,0.013050261327525589,0.028431156316112333,0.1645208244016438,0.07931301166806305
banking77,realToReal3,0.9995536802134817,0.01329231151177542,0.49050711323674484,0.26218453,0.3680746855481525,0.047054749203322456,0.006716580376842751,0.03763231299555736,0.15254579431010548,0.08103799458979564
medicalAbstracts,LDA,0.0,0.014930106418016509,0.8216216216216217,0.35477313,0.7082065838112035,0.1597884135291847,0.034525172309563756,0.28576342871283184,0.501198387200512,0.5323711275706107
medicalAbstracts,MATAVE,0.0,0.00410108039979092,0.9056024350141998,0.3609132,0.9729054781493627,0.5011613424593028,0.19786180700085343,0.9554496192805031,0.533051894744376,0.4943589829188649
medicalAbstracts,combinedTopicModel,0.0,0.004345713923100976,0.8374630010211073,0.3543385,0.6969288193380496,0.16313175701364938,0.03274464248316178,0.18951793044198903,0.5525855525523266,0.5197470391785707
medicalAbstracts,realToReal,1.0,0.006566638365683682,0.452991452991453,0.351541,0.6165682889455391,0.03837664177937635,0.02280992555401033,0.01397494080780696,0.16099888167916787,0.10577469344476949
medicalAbstracts,realToReal2,1.0,0.004054323481868849,0.45544662309368195,0.3525451,0.6115456467024286,0.02018673689481924,0.028160760137642016,0.010133840159475493,0.2069962517790549,0.1105977063407449
medicalAbstracts,realToReal3,1.0,0.01108702048295577,0.44916344916344914,0.35677722,0.629965163517333,0.02856798183474744,0.035317223887520045,0.021184677009382574,0.18831577432604985,0.11370175288864427
dementiaAudio,LDA,0.0,0.2751229006528846,1.0,0.26876602,0.5288719840153046,0.9716283900450725,0.9454004645929993,0.9947163339438033,0.8317069620057179,0.29117174189088263
dementiaAudio,MATAVE,0.0,0.40828945853818976,1.0,0.2986938,0.6786678810090411,0.9187913361079243,0.9851769367367139,0.9918641839076114,0.7426084329605752,0.24834913882370327
dementiaAudio,combinedTopicModel,0.0,0.3310923650454531,1.0,0.2797849,0.5547627448811706,0.8565015066349456,0.9534486399472097,0.9899165108589009,0.7600585270527369,0.2605399593867838
