dataset,model,CHI,ZIPF,CLASSIFIER,IRPR,FID,PR,DC,MAUVE,TRADITIONAL,ZERO
yahoo,LDA,0.9436302826347583,0.12255422395583322,0.8811965811965812,0.4129862,1.0123987889609416,0.349915275497871,0.10356818597046884,0.7134253319704502,0.3748355070233987,0.27090990861207603
yahoo,MATAVE,0.9916591416622369,0.22227545333955334,0.9563063063063063,0.41615453,1.028471559390039,0.3760424812551264,0.09603523213755667,0.7720337028482427,0.5622285013442073,0.29523548082946544
yahoo,realToReal,1.0,0.0050357120779551305,0.47252747252747246,0.40337232,0.8800477742623056,0.010016332070928632,0.029556288140517657,0.03924570719605669,0.14831942747665006,0.10008072423353649
yahoo,realToReal2,1.0,0.007487551357720353,0.49725846095670256,0.4024514,0.8639011925855451,0.015110084559189977,0.013775279365328371,0.022786884615978775,0.17995602370624017,0.101997785445694
banking77,LDA,2.7762977102459746e-13,0.1313997573367958,0.9073088970990275,0.31081367,0.6151701726232606,0.3828049917192485,0.3088524013711548,0.7039253654908512,0.36555531830982163,0.14763465503905032
banking77,MATAVE,0.006055634079865535,0.17603315002142542,0.9752032520325203,0.337082,0.7163130903013584,0.4690539305596683,0.6378699597322832,0.8821037876464256,0.4456968163983099,0.22085519310996463
banking77,realToReal,1.0,0.01852108243440324,0.5569850203996546,0.25844306,0.36524582046425663,0.03851535512886939,0.007753852907902796,0.0286519599354013,0.15465886474796095,0.08425267227998122
banking77,realToReal2,1.0,0.015546142429421872,0.5343548050865125,0.2595031,0.3697780279417438,0.036893501132045814,0.015349380773566845,0.026769338206641995,0.17188923538301157,0.08173461754284088
medicalAbstracts,LDA,0.0,0.014930106418016509,0.7632632632632633,0.35477313,0.7082065838112035,0.1597884135291847,0.034525172309563756,0.28576342871283184,0.501198387200512,0.5323711275706107
medicalAbstracts,MATAVE,0.0,0.00410108039979092,0.9315789473684211,0.3609132,0.9729054781493627,0.5011613424593028,0.19786180700085343,0.9554496192805031,0.533051894744376,0.4943589829188649
medicalAbstracts,realToReal,1.0,0.006566638365683682,0.3723136666519571,0.351541,0.6165682889455391,0.03837664177937635,0.02280992555401033,0.01397494080780696,0.16099888167916787,0.10577469344476949
medicalAbstracts,realToReal2,1.0,0.006608278019422431,0.46492152833616246,0.35322893,0.6170279077852296,0.018443502939180328,0.0192507863167443,0.10669540462688316,0.17116733318366914,0.09573638599501767
dementiaAudio,LDA,0.0,0.2751229006528846,0.991869918699187,0.26876602,0.5288719840153046,0.9716283900450725,0.9454004645929993,0.9947163339438033,0.8317069620057179,0.29117174189088263
dementiaAudio,MATAVE,0.0,0.40828945853818976,1.0,0.2986938,0.6786678810090411,0.9187913361079243,0.9851769367367139,0.9918641839076114,0.7426084329605752,0.24834913882370327
dementiaAudio,realToReal,1.0,0.012869264801694516,0.5314685314685315,0.22520985,0.2469632477004149,0.21559034446825656,0.06796286125115554,0.04256020675936245,0.1854679895884838,0.09200640053049597
dementiaAudio,realToReal2,1.0,0.012404429309893569,0.4280654210050872,0.2224148,0.24161456258493322,0.2126383962802514,0.006733666632828299,0.01080853136833578,0.18009460759129883,0.0893656701884255
huffPostNews,LDA,0.9999999958419267,0.09484295319787665,0.9076312576312576,0.39816487,0.9321786692647995,0.2560342307933459,0.11373798634435654,0.668309132079925,0.40834078470326074,0.2613224065201535
huffPostNews,MATAVE,0.9999413067064461,0.07275093312574687,0.8960774028093489,0.39197266,0.9146289089338389,0.6858708201418052,0.06951814464270334,0.7151542332015275,0.5963669299850675,0.3331428273258805
huffPostNews,realToReal,1.0,0.012714766544244823,0.5467617349970291,0.39789328,0.8252481075155851,0.04710403738374443,0.05648496564261311,0.03570548762014366,0.15804178355307266,0.10875811479338963
huffPostNews,realToReal2,1.0,0.014709383867085646,0.583575593331691,0.39947805,0.8234437743179585,0.03012041294958338,0.0923947415754252,0.06157581988195134,0.151212345870397,0.11046069351626404
clinc150,LDA,0.3333420390183714,0.0400098191085011,0.9098230391480534,0.37083665,0.90359656073795,0.3701091280881381,0.2677184591245308,0.856025474295539,0.2979098987569822,0.23093824604828517
clinc150,MATAVE,0.07818290211626067,0.09205638455032043,0.8686083564132344,0.3657985,0.9189883961227627,0.48596283992920425,0.19219521372070883,0.8856536862118106,0.28782975931187055,0.20010811279687912
clinc150,realToReal,1.0,0.011899395752718922,0.5641025641025642,0.3448207,0.7052884574568958,0.04850021514372649,0.033356736449916546,0.03298138439591958,0.14949482154769425,0.09674670700423625
clinc150,realToReal2,1.0,0.015922941165559996,0.5204872646733112,0.3394494,0.6966603653329445,0.036838707977498185,0.03775360762897676,0.0731639553670012,0.1946011149536321,0.09096335012570812
syntheticCareHomeNurseNotes,LDA,1.7763568394002505e-15,0.014839822004893755,0.9751928288513655,0.31325853,0.6757013158499361,0.6878130720832164,0.22237158118628997,0.7749400266492853,0.6819632704681359,0.24107863188588655
syntheticCareHomeNurseNotes,MATAVE,0.582789925281802,0.12045673052383259,0.8081702965423897,0.30806482,0.5448968928960306,0.19792721861063356,0.2241769512269968,0.3143314019974163,0.47570555639210527,0.10068700301730941
syntheticCareHomeNurseNotes,realToReal,0.6425656671145537,0.02401333648710413,0.5517530517530518,0.2911502,0.4198300932715209,0.04678974539872057,0.03933508094739765,0.037413302450041784,0.1567429932790624,0.08781037747694022
syntheticCareHomeNurseNotes,realToReal2,1.0,0.011068973848738506,0.5414634146341464,0.2924635,0.4150621493152198,0.038723143413527894,0.03135061396619646,0.044985011545265095,0.1765894171022101,0.07734714676136718
clinicalDialogueSummarizations,LDA,0.018040655104283137,0.06766408036113351,0.8358602504943967,0.3241258,0.7001722107396392,0.34668741814531634,0.15204448883104307,0.6705778456019716,0.31777711139446857,0.2894757369225489
clinicalDialogueSummarizations,MATAVE,0.0876866154510555,0.17416452301270968,0.909196067090804,0.3431028,0.7547901501599723,0.3229534362074075,0.49111420292808,0.6605078734595594,0.37312384738076076,0.37912042053057426
clinicalDialogueSummarizations,realToReal,1.0,0.008507246181647629,0.4588340685901662,0.26867887,0.4718757661642841,0.0753032450192374,0.04323920362907089,0.03538437713894338,0.1800805833655292,0.10788300679602597
clinicalDialogueSummarizations,realToReal2,1.0,0.007035243831320963,0.5476014500404744,0.27448538,0.49207527149286484,0.07378098960088968,0.03186624423749888,0.021472128898810006,0.17060658803421339,0.10742804127449442
simSUM,LDA,0.0,0.06558595699929204,0.9755799755799756,0.23841041,0.45307005184772114,0.7038335473877447,0.9144903843378085,0.8506086201054567,0.4878415340299325,0.36571659240577303
simSUM,MATAVE,0.0,0.15325038782679856,0.9653621232568601,0.24177651,0.5166735280723228,0.7083905130062131,0.899406649833363,0.8791222065514187,0.5068906976172469,0.3556906410830238
simSUM,realToReal,1.0,0.006167793509327908,0.5381627828436338,0.17151815,0.14696784352870232,0.08715708256701545,0.020542815139786803,0.031642831982537145,0.15819087932245746,0.10745385509128232
simSUM,realToReal2,1.0,0.00555137048815187,0.48234541472896825,0.17255203,0.14926226710847246,0.09086232675444834,0.04778234818626118,0.06663236181981828,0.15207242115996647,0.09209833208291256
atis,LDA,0.0,0.16009979028777463,0.9666562434855117,0.27354923,0.4992656774926391,0.44598264690738443,0.6496560114553683,0.9300243816534706,0.39104603218021733,0.2815073287038427
atis,MATAVE,0.0,0.21437825956486425,0.88006438006438,0.29124317,0.5561212948278568,0.451169691196172,0.8123878922358349,0.8202259185902584,0.3674057163119233,0.20615445808873925
atis,realToReal,0.9999999997920389,0.03424086878371221,0.49730073847720907,0.22234811,0.2466567702273197,0.0770277288359404,0.10928449374676379,0.07219692875789492,0.15773094703670243,0.06605466767476882
atis,realToReal2,0.9920880733752436,0.03162388930251092,0.4727272727272727,0.21811981,0.2379080751800008,0.0653153573190058,0.03341180585632638,0.038914629250449605,0.12538726453338375,0.06081043395876703
