,metric,comparison,pearson,pearson p-value,spearman,spearman p-value,kendall,kendall p-value
0,CHI,F1 Score,,,,,,
1,ZIPF,F1 Score,-0.1083734876416359,0.8622851699216986,-0.3,0.623837664781073,-0.19999999999999998,0.8166666666666667
2,CLASSIFIER,F1 Score,-0.6544692773131585,0.23076135868892317,-0.6,0.28475697986529386,-0.39999999999999997,0.48333333333333334
3,IRPR,F1 Score,-0.9718595498236576,0.005642722609416432,-0.9999999999999999,1.4042654220543602e-24,-0.9999999999999999,0.016666666666666666
4,FID,F1 Score,-0.9757920263266052,0.004504931577814296,-0.9999999999999999,1.4042654220543602e-24,-0.9999999999999999,0.016666666666666666
5,PR,F1 Score,-0.8704718426598645,0.05486014615809634,-0.8999999999999998,0.03738607346849874,-0.7999999999999999,0.08333333333333333
6,DC,F1 Score,-0.9166989595032874,0.028497527497795373,-0.8999999999999998,0.03738607346849874,-0.7999999999999999,0.08333333333333333
7,MAUVE,F1 Score,-0.6681196859099949,0.21772430160362566,-0.6,0.28475697986529386,-0.39999999999999997,0.48333333333333334
8,TRADITIONAL,F1 Score,-0.7609514115924082,0.13515822771340502,-0.7,0.1881204043741873,-0.6,0.23333333333333334
9,ZERO,F1 Score,-0.1659634674887096,0.789662853056635,-0.09999999999999999,0.8728885715695384,0.0,1.0
10,final_score,F1 Score,-0.9756649517193694,0.004540362365325603,-0.9999999999999999,1.4042654220543602e-24,-0.9999999999999999,0.016666666666666666
11,CHI,Cohen's Kappa,,,,,,
12,ZIPF,Cohen's Kappa,0.023202629108928174,0.9704601460511181,-0.3,0.623837664781073,-0.19999999999999998,0.8166666666666667
13,CLASSIFIER,Cohen's Kappa,-0.5184412527477595,0.37079489341002947,-0.6,0.28475697986529386,-0.39999999999999997,0.48333333333333334
14,IRPR,Cohen's Kappa,-0.9342993773486196,0.020015256316551645,-0.9999999999999999,1.4042654220543602e-24,-0.9999999999999999,0.016666666666666666
15,FID,Cohen's Kappa,-0.9628176319745615,0.00855859124082329,-0.9999999999999999,1.4042654220543602e-24,-0.9999999999999999,0.016666666666666666
16,PR,Cohen's Kappa,-0.8765570066506548,0.05108859943231968,-0.8999999999999998,0.03738607346849874,-0.7999999999999999,0.08333333333333333
17,DC,Cohen's Kappa,-0.9130337205566579,0.03038171078763392,-0.8999999999999998,0.03738607346849874,-0.7999999999999999,0.08333333333333333
18,MAUVE,Cohen's Kappa,-0.5903995552593284,0.29457955551571424,-0.6,0.28475697986529386,-0.39999999999999997,0.48333333333333334
19,TRADITIONAL,Cohen's Kappa,-0.6729366198492257,0.21317425884627839,-0.7,0.1881204043741873,-0.6,0.23333333333333334
20,ZERO,Cohen's Kappa,-0.3384567718615444,0.5774384668572863,-0.09999999999999999,0.8728885715695384,0.0,1.0
21,final_score,Cohen's Kappa,-0.9439789381121753,0.01578255764416609,-0.9999999999999999,1.4042654220543602e-24,-0.9999999999999999,0.016666666666666666
