,metric,comparison,pearson,pearson p-value,spearman,spearman p-value,kendall,kendall p-value
0,CHI,F1 Score,,,,,,
1,ZIPF,F1 Score,-0.10837348764163601,0.8622851699216983,-0.3,0.623837664781073,-0.19999999999999998,0.8166666666666667
2,CLASSIFIER,F1 Score,-0.6544692773131591,0.23076135868892256,-0.6,0.28475697986529386,-0.39999999999999997,0.48333333333333334
3,IRPR,F1 Score,-0.9718595498236576,0.005642722609416432,-0.9999999999999999,1.4042654220543602e-24,-0.9999999999999999,0.016666666666666666
4,FID,F1 Score,-0.9757920263266054,0.004504931577814173,-0.9999999999999999,1.4042654220543602e-24,-0.9999999999999999,0.016666666666666666
5,PR,F1 Score,-0.8704718426598645,0.05486014615809634,-0.8999999999999998,0.03738607346849874,-0.7999999999999999,0.08333333333333333
6,DC,F1 Score,-0.9166989595032877,0.02849752749779514,-0.8999999999999998,0.03738607346849874,-0.7999999999999999,0.08333333333333333
7,MAUVE,F1 Score,-0.6681196859099934,0.21772430160362707,-0.6,0.28475697986529386,-0.39999999999999997,0.48333333333333334
8,TRADITIONAL,F1 Score,-0.7609514115924076,0.13515822771340533,-0.7,0.1881204043741873,-0.6,0.23333333333333334
9,ZERO,F1 Score,-0.16596346748870994,0.7896628530566343,-0.09999999999999999,0.8728885715695384,0.0,1.0
10,Framework Score,F1 Score,-0.9990295383986649,3.628592191301414e-05,-0.9999999999999999,1.4042654220543602e-24,-0.9999999999999999,0.016666666666666666
11,BERTScore,F1 Score,-0.11042738138656866,0.8596857681058147,-0.09999999999999999,0.8728885715695384,0.0,1.0
12,METEOR,F1 Score,0.9897967798948265,0.0012353042721466444,0.9999999999999999,1.4042654220543602e-24,0.9999999999999999,0.016666666666666666
13,Abs Sentiment Diff,F1 Score,0.6407324116187879,0.24408831804932837,0.7,0.1881204043741873,0.6,0.23333333333333334
14,Abs Subjectivity Diff,F1 Score,-0.679818017026909,0.20672084975864505,-0.09999999999999999,0.8728885715695384,0.0,1.0
15,Original Metric Mean,F1 Score,0.6600559863503099,0.22540042026254664,0.7999999999999999,0.10408803866182788,0.6,0.23333333333333334
16,CHI,Cohen's Kappa,,,,,,
17,ZIPF,Cohen's Kappa,0.02320262910892805,0.9704601460511181,-0.3,0.623837664781073,-0.19999999999999998,0.8166666666666667
18,CLASSIFIER,Cohen's Kappa,-0.5184412527477601,0.3707948934100287,-0.6,0.28475697986529386,-0.39999999999999997,0.48333333333333334
19,IRPR,Cohen's Kappa,-0.9342993773486195,0.020015256316551742,-0.9999999999999999,1.4042654220543602e-24,-0.9999999999999999,0.016666666666666666
20,FID,Cohen's Kappa,-0.9628176319745615,0.00855859124082329,-0.9999999999999999,1.4042654220543602e-24,-0.9999999999999999,0.016666666666666666
21,PR,Cohen's Kappa,-0.8765570066506548,0.05108859943231968,-0.8999999999999998,0.03738607346849874,-0.7999999999999999,0.08333333333333333
22,DC,Cohen's Kappa,-0.9130337205566584,0.030381710787633694,-0.8999999999999998,0.03738607346849874,-0.7999999999999999,0.08333333333333333
23,MAUVE,Cohen's Kappa,-0.5903995552593264,0.2945795555157163,-0.6,0.28475697986529386,-0.39999999999999997,0.48333333333333334
24,TRADITIONAL,Cohen's Kappa,-0.6729366198492249,0.21317425884627925,-0.7,0.1881204043741873,-0.6,0.23333333333333334
25,ZERO,Cohen's Kappa,-0.33845677186154466,0.5774384668572856,-0.09999999999999999,0.8728885715695384,0.0,1.0
26,Framework Score,Cohen's Kappa,-0.982071136285789,0.0028740319431196175,-0.9999999999999999,1.4042654220543602e-24,-0.9999999999999999,0.016666666666666666
27,BERTScore,Cohen's Kappa,-0.27862672142054024,0.6498865856269651,-0.09999999999999999,0.8728885715695384,0.0,1.0
28,METEOR,Cohen's Kappa,0.9938265504777878,0.0005817322446750376,0.9999999999999999,1.4042654220543602e-24,0.9999999999999999,0.016666666666666666
29,Abs Sentiment Diff,Cohen's Kappa,0.6926954876442646,0.19479528351575284,0.7,0.1881204043741873,0.6,0.23333333333333334
30,Abs Subjectivity Diff,Cohen's Kappa,-0.7795039684656272,0.12009425077892845,-0.09999999999999999,0.8728885715695384,0.0,1.0
31,Original Metric Mean,Cohen's Kappa,0.5186582620987505,0.37055863962044,0.7999999999999999,0.10408803866182788,0.6,0.23333333333333334
