,metric,comparison,pearson,pearson p-value,spearman,spearman p-value,kendall,kendall p-value
0,CHI,F1 Score,,0.0,,0.0,,0.0
1,ZIPF,F1 Score,-0.10837348764163601,0.9333333333333333,-0.3,0.6833333333333333,-0.19999999999999998,0.8166666666666667
2,CLASSIFIER,F1 Score,-0.6544692773131591,0.23333333333333334,-0.6,0.35,-0.39999999999999997,0.48333333333333334
3,IRPR,F1 Score,-0.9718595498236576,0.016666666666666666,-0.9999999999999999,0.016666666666666666,-0.9999999999999999,0.016666666666666666
4,FID,F1 Score,-0.9757920263266054,0.016666666666666666,-0.9999999999999999,0.016666666666666666,-0.9999999999999999,0.016666666666666666
5,PR,F1 Score,-0.8704718426598645,0.05,-0.8999999999999998,0.08333333333333333,-0.7999999999999999,0.08333333333333333
6,DC,F1 Score,-0.9166989595032877,0.03333333333333333,-0.8999999999999998,0.08333333333333333,-0.7999999999999999,0.08333333333333333
7,MAUVE,F1 Score,-0.6681196859099934,0.25,-0.6,0.35,-0.39999999999999997,0.48333333333333334
8,TRADITIONAL,F1 Score,-0.7609514115924076,0.13333333333333333,-0.7,0.23333333333333334,-0.6,0.23333333333333334
9,ZERO,F1 Score,-0.16596346748870994,0.85,-0.09999999999999999,0.95,0.0,1.0
10,Framework Score,F1 Score,-0.9975375760837143,0.016666666666666666,-0.9999999999999999,0.016666666666666666,-0.9999999999999999,0.016666666666666666
11,BERTScore,F1 Score,-0.1104275088358109,0.9333333333333333,-0.09999999999999999,0.95,0.0,1.0
12,METEOR,F1 Score,0.9897967798948265,0.016666666666666666,0.9999999999999999,0.016666666666666666,0.9999999999999999,0.016666666666666666
13,Abs Sentiment Diff,F1 Score,0.6407324116187879,0.2833333333333333,0.7,0.23333333333333334,0.6,0.23333333333333334
14,Abs Subjectivity Diff,F1 Score,-0.679818017026909,0.38333333333333336,-0.09999999999999999,0.95,0.0,1.0
15,Original Metric Mean,F1 Score,0.6600558567280308,0.18333333333333332,0.7999999999999999,0.13333333333333333,0.6,0.23333333333333334
16,CHI,Cohen's Kappa,,0.0,,0.0,,0.0
17,ZIPF,Cohen's Kappa,0.02320262910892805,0.9333333333333333,-0.3,0.6833333333333333,-0.19999999999999998,0.8166666666666667
18,CLASSIFIER,Cohen's Kappa,-0.5184412527477601,0.38333333333333336,-0.6,0.35,-0.39999999999999997,0.48333333333333334
19,IRPR,Cohen's Kappa,-0.9342993773486195,0.016666666666666666,-0.9999999999999999,0.016666666666666666,-0.9999999999999999,0.016666666666666666
20,FID,Cohen's Kappa,-0.9628176319745615,0.016666666666666666,-0.9999999999999999,0.016666666666666666,-0.9999999999999999,0.016666666666666666
21,PR,Cohen's Kappa,-0.8765570066506548,0.03333333333333333,-0.8999999999999998,0.08333333333333333,-0.7999999999999999,0.08333333333333333
22,DC,Cohen's Kappa,-0.9130337205566584,0.03333333333333333,-0.8999999999999998,0.08333333333333333,-0.7999999999999999,0.08333333333333333
23,MAUVE,Cohen's Kappa,-0.5903995552593264,0.35,-0.6,0.35,-0.39999999999999997,0.48333333333333334
24,TRADITIONAL,Cohen's Kappa,-0.6729366198492249,0.2,-0.7,0.23333333333333334,-0.6,0.23333333333333334
25,ZERO,Cohen's Kappa,-0.33845677186154466,0.6333333333333333,-0.09999999999999999,0.95,0.0,1.0
26,Framework Score,Cohen's Kappa,-0.9867437791557355,0.016666666666666666,-0.9999999999999999,0.016666666666666666,-0.9999999999999999,0.016666666666666666
27,BERTScore,Cohen's Kappa,-0.27862682994624866,0.7333333333333333,-0.09999999999999999,0.95,0.0,1.0
28,METEOR,Cohen's Kappa,0.9938265504777878,0.016666666666666666,0.9999999999999999,0.016666666666666666,0.9999999999999999,0.016666666666666666
29,Abs Sentiment Diff,Cohen's Kappa,0.6926954876442646,0.23333333333333334,0.7,0.23333333333333334,0.6,0.23333333333333334
30,Abs Subjectivity Diff,Cohen's Kappa,-0.7795039684656272,0.36666666666666664,-0.09999999999999999,0.95,0.0,1.0
31,Original Metric Mean,Cohen's Kappa,0.5186581234457845,0.31666666666666665,0.7999999999999999,0.13333333333333333,0.6,0.23333333333333334
